id,question_text,question_image,question_description,exam_id
1,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,,,5
2,An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,,,5
3,What is the average of first five multiples of 12?,,,5
4,What is the difference in the place value of 5 in the numeral 754853?,,,5
5,A running man crosses a bridge of length 500 meters in 4 minutes. At what speed he is running?,,,5
6,What is the compound interest on Rs. 2500 for 2 years at rate of interest 4% per annum?,,,5
7,Sohan started a business with a capital of Rs. 80000. After 6 months Mohan joined as a partner by investing Rs. 65000. After one year they earned total profit Rs. 20000. What is share of Sohan in the profit?,,,5
8,"A mother is twice as old as her son. If 20 years ago, the age of the mother was 10 times the age of the son, what is the present age of the mother?",,,5
9,"If January 1, 1996, was Monday, what day of the week was January 1, 1997?",,,5
10,"The speed of a boat in still water is 5km/hr. If the speed of the boat against the stream is 3 km/hr, what is the speed of the stream?",,,5
11,How many times the hands of a clock coincide in a day?,,,5
12,40 % of 280 =?,,,5
13,"A pipe can fill a tank in 6 hours and another pipe can empty the tank in 12 hours. If both the pipes are opened at the same time,the tank can be filled in",,,5
14,"A shopkeeper sold an article for Rs. 2500. If the cost price of the article is 2000, find the profit percent.",,,5
15,"If Suresh borrows Rs. 36000 from Mahesh at rate of interest 6% S.I, at the end of four years how much interest Suresh has to pay along with principal amount?",,,5
16,A train moving at speed of 80 km/hr crosses a pole in 7 seconds. Find the length of the train.,,,5
17,What is the HCF of 1095 and 1168?,,,5
18,What is the area of a triangle with base 5 meters and height 10 meters?,,,5
19,A: B: C is in the ratio of 3: 2: 5. How much money will C get out of Rs 1260?,,,5
20,"In a kilometer race, A beats B by 40 meters or by 5 seconds. What is the time taken by A over the course?",,,5
21,What is the probability of getting an even number when a dice is rolled?,,,5
22,Find the missing term of the given expression:18.834 + 818.34 -? = 618.43,,,5
23,What is the market price of a 9% share when a person gets 180 by investing Rs. 4000?,,,5
24,The true discount on a bill of Rs. 2700 is Rs. 200. What is the banker's discount?,,,5
25,"If 30% of a certain number is 12.6, what is the number?",,,5
26,"Complete the series 2, 5, 9, 19, 37.......",,,5
27,"In what ways the letters of the word ""RUMOUR"" can be arranged?",,,5
28,"Find the odd man out. 1,3,9,12,19,29",,,5
29,"Today it is Thursday.After 132 days,it will be",,,5
30,Two pipes A and B can separately fill a tank in 2 minutes and 15 minutes respectively. Both the pipes are opened together but 4 minutes after the start the pipe A is turned off. How much time will it take to fill the tank?,,,5
